,한글 이름,원제,시즌 수,재생 시간,장르,연령 등급,Production country,감독
0,푸바,FUBAR,2개 시즌,56min,"코미디, 스릴러, 액션, 드라마",19,미국,
1,건즈 앤 굴라브,गन्ज़ & गुलाब्ज़,1개 시즌,53min,"코미디, 드라마, 범죄, 로맨스, 스릴러",15,인도,"Krishna D.K. ,  Raj Nidimoru"
2,유유백서,幽☆遊☆白書,1개 시즌,50min,"SF, 코미디, 드라마, 판타지, 액션",15,일본,
3,지옥락,地獄楽,2개 시즌,24min,"드라마, 액션, SF, 애니메이션, 판타지, 스릴러",19,일본,
4,크리처,Creature,1개 시즌,47min,"드라마, 판타지, 역사, SF",19,터키,Çağan Irmak
5,밤이 되었습니다,,1개 시즌,35min,"드라마, 스릴러",19,대한민국,Lim Dae-wung
6,외교관,The Diplomat,2개 시즌,48min,"드라마, 코미디, 스릴러",15,미국,
7,보르텍스,Vortex,1개 시즌,54min,"SF, 드라마, 범죄",19,프랑스,Slimane-Baptiste Berhoun
8,"미타라이 가, 불타다",Burn the House Down,1개 시즌,48min,"드라마, 스릴러",15,일본,
9,나쁜 엄마,,1개 시즌,1시간 9분,"드라마, 코미디",15,대한민국,
10,슬리핑 도그,Sleeping Dog,1개 시즌,52min,"스릴러, 범죄, 드라마",19,독일,
11,스카이 하이: 더 시리즈,Hasta el cielo: La serie,1개 시즌,44min,"드라마, 범죄, 액션, 스릴러",,스페인,
12,에린 & 에런,Erin & Aaron,1개 시즌,25min,"코미디, 드라마, 가족",ALL,미국,Boluwatife Samson
13,인선지인: 웨이브 메이커스,人選之人—造浪者,1개 시즌,50min,드라마,15,대만,Chun-Yang Lin
14,모래에도 꽃이 핀다,,1개 시즌,1시간 3분,"코미디, 드라마, 스릴러, 로맨스",15,대한민국,Kim Jin-woo
15,세 개의 비밀,Tríada,1개 시즌,43min,"드라마, 스릴러",,멕시코,
16,팍스 마르세유,Blood Coast,1개 시즌,53min,"스릴러, 액션, 범죄, 드라마",19,프랑스,"Ivan Fegyveres ,  Olivier Marchal"
17,버닝 바디,Burning Body,1개 시즌,49min,"범죄, 드라마, 스릴러",19,스페인,
18,리키시,サンクチュアリ -聖域-,1개 시즌,51min,"드라마, 스포츠",19,일본,Kan Eguchi
19,아날로그 스쿼드,Analog Squad ทีมรักนักหลอก,1개 시즌,1시간 0분,드라마,15,태국,Nithiwat Tharathorn
20,바라쿠다 퀸스,Barracuda Queens,1개 시즌,32min,"스릴러, 범죄, 드라마",19,스웨덴,
21,셰프 치코의 빈자리를 채워라,Replacing Chef Chico,1개 시즌,34min,"드라마, 로맨스",19,필리핀 제도,Dan Villegas
22,플루토,PLUTO,1개 시즌,1시간 2분,"SF, 스릴러, 범죄, 애니메이션, 드라마, 액션",15,일본,
23,캡틴 레이저호크: 블러드 드래곤 리믹스,Captain Laserhawk: A Blood Dragon Remix,2개 시즌,24min,"SF, 애니메이션, 액션, 코미디, 드라마, 판타지",19,"캐나다, 프랑스, 미국",
24,끝없는 밤,The Endless Night,1개 시즌,43min,"범죄, 드라마, 스릴러",15,브라질,"Julia Rezende ,  Carol Minêm"
25,우리가 볼 수 없는 모든 빛,All the Light We Cannot See,1개 시즌,57min,"드라마, 역사, 전쟁",19,미국,
26,"엑스오, 키티","XO, Kitty",2개 시즌,29min,"로맨스, 코미디, 드라마",15,미국,
27,크리미널 코드,DNA DO CRIME,1개 시즌,58min,"범죄, 액션, 드라마, 스릴러",19,브라질,
28,1670,,1개 시즌,32min,"코미디, 역사, 드라마",19,폴란드,
29,기적의 형제,,1개 시즌,1시간 5분,"스릴러, 드라마, SF, 코미디",15,대한민국,Park Chan-hong
30,토레,Tore,1개 시즌,32min,"코미디, 드라마",19,스웨덴,
31,리디아 포에트의 법,La legge di Lidia Poët,1개 시즌,42min,"드라마, 범죄, 전쟁, 역사",19,이탈리아,"Letizia Lamartire ,  Matteo Rovere"
32,언스테이블,Unstable,1개 시즌,24min,"코미디, 드라마",,미국,
33,챔피언의 비트,Champion,1개 시즌,45min,드라마,,"미국, 영국",
34,클래스,क्लास,1개 시즌,51min,"드라마, 범죄, 스릴러",19,인도,"Kabir Mehta ,  Ashim Ahluwalia"
35,백만 번 말할 걸 그랬어,100万回 言えばよかった,1개 시즌,46min,"드라마, SF, 판타지, 로맨스",15,일본,
36,아프리칸 퀸: 은징가,African Queens: Njinga,2개 시즌,47min,"다큐멘터리, 드라마, 역사",,"미국, 영국",
